Installation,Prioritization,Category,Common Name,Scientific Name,Status,Onsite/ Contiguous (Adjacent),Dispersal mode,Disperal range (max) km,Dispersal range (average) km,Primary habitat (NLCD cat),Secondary habitat (NLCD cat),Microhabitat,NWI category,Critical Habitat (y/n),Residency,# extant pops (# occurrences),# pops good viability,Resident status,Recovery Plan (y/n),"RP calls for new pops (translocation, reintroduction etc) (y/n)","HCP, CCA, CCAA, CP (#)",Comments
CAMP GRUBER,1,Insect,"Beetle, American Burying (=giant carrion) (Except, where listed as experimental population)",Nicrophorus americanus,ENDANGERED,ONSITE,Flight,12,1,"Deciduous Forest, Evergreen Forest, Grassland/Herbaceous",,soil burrows,NA,n,resident,2,2,resident,y,y,55,"There are two known populations. Other, small populations probably exist; these beetles can fly up to 12 km in a day. Actual migration is likely not limited to 12 km"
CAMP MAXEY,1,Insect,"Beetle, American Burying (=giant carrion) (Except, where listed as experimental population)",Nicrophorus americanus,ENDANGERED,ONSITE,Flight,12,1,"Deciduous Forest, Evergreen Forest, Grassland/Herbaceous",,soil burrows,NA,n,resident,2,2,resident,y,y,55,"other, small populations probably exist; these beetles can fly up to 12 km in a day. Actual migration is likely not limited to 12 km"
FORT CHAFFEE MANEUVER TRAINING CTR,1,Insect,"Beetle, American Burying (=giant carrion) (Except, where listed as experimental population)",Nicrophorus americanus,ENDANGERED,ONSITE,Flight,12,1,"Deciduous Forest, Evergreen Forest, Grassland/Herbaceous",,soil burrows,NA,n,resident,2,2,resident,y,y,55,"other, small populations probably exist; these beetles can fly up to 12 km in a day. Actual migration is likely not limited to 12 km"
FORT MCCOY,1,Insect,"Butterfly, Karner Blue",Lycaeides melissa samuelis,ENDANGERED,ONSITE,Flight,8,4,Mixed Forest,,grassy openings with wild lupine; oak savanna and jack pine barrens with wild lupine,NA,y,resident,,,resident,y,n,6,unlikely to disperse unless wild lupine dies out
FORT BRAGG,1,Insect,"Butterfly, Saint Francis' Satyr",Neonympha mitchellii francisci,ENDANGERED,ONSITE,Flight,10,2,Mixed Forest,Evergreen Forest,sedge meadow,PEM1D,n,resident,14,10,resident,y,y,1,"weak flier, unlikely to disperse"
JOINT BASE LEWIS-MCCHORD,1,Insect,"Checkerspot, Taylor's (=whulge)",Euphydryas editha taylori,ENDANGERED,ONSITE,Flight,0.14,0.1,Grassland/Herbaceous,Evergreen Forest,dry prairie; maritime meadows within Garry oak ecosystems,NA,y,resident,14,9,resident,y,n,4,Can't find recovery plan
FORT CAMPBELL,1,Mammal,"Bat, Gray",Myotis grisescens,ENDANGERED,ONSITE,flight,775,92,Mixed forest,Woody wetlands,caves,n/a,N,"migrant, resident",384,20,"migrant, resident",y,n,0,"The number of distinct occurrences (subpopulations) has not been determined using standardized criteria. Martin (2007) listed the species as occurring in 384 caves scattered across 11 states (his analysis did not include Indiana). Summering populations of gray bats use multiple caves, and movement between caves is considerable (Tuttle 1976, Martin 2007)."
FORT GORDON,1,Mammal,"Bat, Gray",Myotis grisescens,ENDANGERED,ONSITE,flight,775,92,Mixed forest,Woody wetlands,caves,n/a,N,"migrant, resident",384,20,"migrant, resident",y,n,0,"# extant pops based on number of caves known to occur (total pop >1,000,000)"
FORT KNOX,1,Mammal,"Bat, Gray",Myotis grisescens,ENDANGERED,ONSITE,flight,775,92,Mixed forest,Woody wetlands,caves,n/a,N,"migrant, resident",384,20,"migrant, resident",y,n,0,# pops good viability based on number of known hibernacula containing the vast majority of the hibernating population
FORT LEONARD WOOD,1,Mammal,"Bat, Gray",Myotis grisescens,ENDANGERED,ONSITE,flight,775,92,Mixed forest,Woody wetlands,caves,n/a,N,"migrant, resident",384,20,"migrant, resident",y,n,0,"Migrates between winter caves and summer caves, but either could be occupied year round"
VTS CATOOSA,1,Mammal,"Bat, Gray",Myotis grisescens,ENDANGERED,ONSITE,flight,775,92,Mixed forest,Woody wetlands,caves,n/a,N,"migrant, resident",384,20,"migrant, resident",y,n,0,Dispersal range (average) from Hall and Wilson 1966)
CAMP ATTERBURY,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,northern pops migrate; 
CAMP DAWSON,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,The number of distinct occurrences has not been determined using standardized criteria.
FORT CAMPBELL,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,# extant pops based on number of extant winter pops at hibernacula
FORT DRUM,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,"total pop 100,000 - 1,000,000"
FORT KNOX,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,resident,281,9,migrant,draft only,n,10,# pops good viability based on 85% of total pop hibernating in 9 caves
FORT LEONARD WOOD,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,resient,281,9,migrant,draft only,n,10,highly variable dispersal range.  In Michigan: 477 km; Indiana: 55-80 km; Kentucky: <64 km
MACON TRAINING SITE,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,
WEST POINT MIL RESERVATION,1,Mammal,"Bat, Indiana",Myotis sodalis,ENDANGERED,ONSITE,flight,575,55-80,Mixed forest,Woody wetlands,caves,n/a,y,migrant,281,9,migrant,draft only,n,10,
FORT HUACHUCA,1,Mammal,"Bat, Lesser Long-nosed",Leptonycteris curasoae yerbabuenae,ENDANGERED,ONSITE,flight,1600,80,Mixed forest,Desert,caves and mines,n/a,N,"migrant, resident","286 (17 in AZ, 269 in Mexico)",40 (3 in USA),"migrant, resident",y,n,1,"Habitat is cliff, desert, plus riparian areas, hardwood forest, and caves. The number of occurrences or subpopulations has not been determined using standardized/meaningful criteria, but this species is represented by a large number of collection/observation sites. # extant pops based on number of historical and currently occupied roost sites in Mexico and AZ. Some pops migrate, some don't.  Longest migration from Jalisco to Sonoran Desert (1600 km). Average dispersal range based on USFWS protection of food plants within 80 km of known roosts (individuals may fly 19-100 km from day roost to forage)"
MTA CAMP SHELBY,1,Mammal,"Bear, American Black (Threatened Due to Similarity of Appearance in LA, all counties; MS, TX only in the historic county range of LA black bear)",Ursus americanus,T (S/A),ONSITE,terrestrial,219,61,Mixed forest,Woody wetlands,fallen/hollow logs for dens,n/a,N,resident,300,300,resident,n,n/a,0,Dispersal distances from Rogers 1987. Recovery plan exists for Louisiana black bear.  LA black bear has critical habitat and 1 HCP
FORT CARSON,1,Mammal,"Ferret, Black-footed (specific portions of AZ, CO, MT, SD, UT, and WY)",Mustela nigripes,"EXPN, NON-ESSENTIAL",CONTIGUOUS,terrestrial,49,10,Grassland/herbaceous,Shrub/scrub,prairie dog burrows,n/a,N,resident,15,4,resident,y,y,2,"Current wild pop is 418, captive pop is 280."
FORT HUNTER LIGGETT,1,Mammal,"Fox, San Joaquin Kit",Vulpes macrotis mutica,ENDANGERED,ONSITE,terrestrial,32.3,7.8,Shrub/scrub,Grassland/herbaceous,prefer loose-textured soils for dens,n/a,N,resident,3,0,resident,y,n,23,"Also inhabit modified land such as oil fields, wind farms, row crop agriculture, pasture, orchard, vineyard, urban areas. 3 core pops consist of 6-20 subpops. Only 2 of the subpops are stable.  None of the core pops are currently viable."
MTC-H CAMP ROBERTS,1,Mammal,"Fox, San Joaquin Kit",Vulpes macrotis mutica,ENDANGERED,ONSITE,terrestrial,32.3,7.8,Shrub/scrub,Grassland/herbaceous,prefer loose-textured soils for dens,n/a,N,resident,3,0,resident,y,n,23,"Also inhabit modified land such as oil fields, wind farms, row crop agriculture, pasture, orchard, vineyard, urban areas. 3 core pops consist of 6-20 subpops. Only 2 of the subpops are stable.  None of the core pops are currently viable."
WHITE SANDS MISSILE RANGE,1,Mammal,Jaguar,Panthera onca,ENDANGERED,ONSITE,Terrestrial,70,30,Evergreen Forest,Mixed Forest,"Habitat includes a wide variety of situations, such as tropical and subtropical forests, lowland scrub and woodland, thorn scrub, pampas/llanos, desert, swampy savanna, mangrove swamps, lagoons, marshland, and floating islands of vegetation. At the southern extreme of the range, this cat inhabits open savanna, flooded grasslands, and desert mountains; at the northern extreme it may be found in chaparral and timbered areas",na,Y,Resident,51,41,Resident,N (draft(2016)),N (draft),0,"The number of occurrences or subpopulations is difficult to define for this species (individuals of which may range over vast areas) and not a very meaningful measure of conservation status. Population size and area of occupancy are more relevant considerations. However, see Sanderson et al. (2002), who identified jaguar-occupied areas that could be regarded as distinct occurrences or subpopulations. (Occurrence and viability estimates based on Sanderson)."
FORT HUACHUCA,1,Mammal,Jaguar,Panthera onca,ENDANGERED,CONTIGUOUS,Terrestrial,70,30,Evergreen Forest,Mixed Forest,"Habitat includes a wide variety of situations, such as tropical and subtropical forests, lowland scrub and woodland, thorn scrub, pampas/llanos, desert, swampy savanna, mangrove swamps, lagoons, marshland, and floating islands of vegetation. At the southern extreme of the range, this cat inhabits open savanna, flooded grasslands, and desert mountains; at the northern extreme it may be found in chaparral and timbered areas",na,Y,Resident,51,41,Resident,N (draft(2016)),N (draft),0,"The number of occurrences or subpopulations is difficult to define for this species (individuals of which may range over vast areas) and not a very meaningful measure of conservation status. Population size and area of occupancy are more relevant considerations. However, see Sanderson et al. (2002), who identified jaguar-occupied areas that could be regarded as distinct occurrences or subpopulations. (Occurrence and viability estimates based on Sanderson)."
CAMP RIPLEY,1,Mammal,"Lynx, Canada (CO, ID, ME, MI, MN, MT, NH, NY, OR, UT, VT, WA, WI, WY)",Lynx canadensis,THREATENED,CONTIGUOUS,Terrestrial,1000,100,Evergreen Forest,Mixed Forest,"Generally occurs in boreal and montane regions dominated by coniferous or mixed forest with thick undergrowth, but also sometimes enters open forest, rocky areas, and tundra to forage for abundant prey. When inactive or birthing, occupies den typically in hollow tree, under stump, or in thick brush. Den sites tend to be in mature or old growth stands with a high density of logs",na,Y,Resident,81 to >300,0 (in U.S.),Resident,Y (2005),N,6,"It has been suggested that, because lynx occurrence throughout much of the continguous U.S. is on the southern periphery of the species' range, the presence of lynx is solely a consequence of dispersal from Canada and that most of the U.S. may never have supported self-sustaining, resident populations over time (U.S. Fish and Wildlife Service 1998).  Lynx are capable of exploratory movements of over 1000km, and movements over 100km are typical (Squires & Oakleaf, 2005; Aubry, Koehler, & Squires, 2000). Only Lynx in southern forests are known to make long-distance exploratory movements prior to dispersal, possibly due to lower probability of successful dispersal due to increased habitat heterogeneity. "
WHITE SANDS MISSILE RANGE,1,Mammal,New Mexico Meadow Jumping Mouse,Zapus hudsonius luteus,ENDANGERED,CONTIGUOUS,terrestrial,0.25,0.05,Riparian,Grassland/herbaceous,Riparian obligate,n/a,y,resident,11,0,resident,n; see comments,n/a; see comments,0,"A recory outline exists, but not a finalized recovery plan. The outline calls for an evaluation of the need for assisted translocation and captive breeding. Does not occur in any habitats that are large enough to support viable pops."
FORT HUACHUCA,1,Mammal,Ocelot,Leopardus (=Felis) pardalis,ENDANGERED,CONTIGUOUS,Terrestrial,50,8,Deciduous forest,Shrub/scrub,"Habitats with good cover; when active by day, tends to keep hidden in dense brush (Emmons and Feer 1990). Inhabits dense chaparral thickets in Texas. Elsewhere, occurs in humid tropical forests, mangrove forests, swampy savannas, brushland, and riverine scrub in deserts",na,N,Resident,21-80 (3 in U.S.),0 (in U.S.),Resident,Y (2016),Y,0,"Populations in Texas are imperiled, and separated from nearby Mexican populations.  Viability will depend on translocation or facilitation of natural dispersal from Tamulipas in Mexico.  Arizona may or may not support an actual population, but individuals have been seen, often dead from car impacts.  Similar to Texas, connection to the Mexican Sonoran population is essential for viability. "
JOINT BASE LEWIS-MCCHORD,1,Mammal,"Pocket gopher, Roy Prairie",Thomomys mazama glacialis,THREATENED,ONSITE,terrestrial,0.4,0.01,Grassland/herbaceous,Sedge/herbaceous,Meadow soils (not rocky) for burrowing,n/a,Y,resident,1,1,resident,n,n/a,0,This is a subspecies of Mazama pocket gopher (Thomomys mazama). 
YUMA PROVING GROUND,,Mammal,"Pronghorn, Sonoran (AZ and Mexico)",Antilocapra americana sonoriensis,"EXPN, NON-ESSENTIAL",ONSITE,terrestrial,350,81,Barren Land (Rock/Clay/Sand),Shrub/scrub,n/a,n/a,N,resident,5,0,resident,y,y,0,
DUGWAY PROVING GROUND,1,Mammal,"Rabbit, Pygmy (Columbia Basin DPS)",Brachylagus idahoensis,ENDANGERED,CONTIGUOUS,terrestrial,12,2,Shrub/scrub,n/a,"tall, dense sagebrush, and areas with deep, loose soils to allow burrowing",n/a,N,resident,0,0,resident,y,y,1,Only 1 pop was recently extant. Currently presumed extirpated in the wild.
WHITE SANDS MISSILE RANGE,1,Mammal,"Wolf, Gray (portions of AZ, NM and TX)",Canis lupus,"EXPN, NON-ESSENTIAL",CONTIGUOUS,terrestrial,965,200,Evergreen Forest,Mixed forest,"prefer evergreen pine-oak woodlands, pinyon-juniper woodlands, and mixed-conifer montane forests.  Burrow in soil.",n/a,N,resident,1,0,resident,y,y,0,"The experimental population listed here is the subspecies of gray wolf, Mexican wolf (Canis lupus baileyi)."
FORT HUNTER LIGGETT,1,Plant,"Amole, Purple",Chlorogalum purpureum,THREATENED,ONSITE,,0.005,0.001,Mixed forest,Shrub/scrub,,na,y,Resident,15,13,Resident,n,na,0,
MTC-H CAMP ROBERTS,1,Plant,"Amole, Purple",Chlorogalum purpureum,THREATENED,ONSITE,,0.005,0.001,Mixed forest,Shrub/scrub,,na,y,Resident,15,13,Resident,n,na,0,
FORT BLISS,1,Plant,"Cactus, Sneed Pincushion",Coryphantha sneedii var. sneedii,ENDANGERED,ONSITE,,1.5,0.04,Barren Land (Rock/Clay/Sand),Grassland/herbaceous,na,na,n,Resident,20,,Resident,y,n,0,
FORT BRAGG,1,Plant,"Chaffseed, American",Schwalbea americana,ENDANGERED,ONSITE,,0.015,0.002,Evergreen Forest,,,na,n,Resident,53,12,Resident,y,y,0,
CAMP DAWSON,1,Plant,"Clover, Running Buffalo",Trifolium stoloniferum,ENDANGERED,ONSITE,,1.5,0.04,Deciduous Forest,Grassland/herbaceous,limestone,na,n,Resident,116,38,Resident,n,na,0,
FORT JACKSON,1,Plant,"Coneflower, Smooth",Echinacea laevigata,ENDANGERED,ONSITE,,0.005,0.001,Grassland/herbaceous,,,na,n,Resident,23,8,Resident,y,n,0,
FORT STEWART,1,Plant,"Coneflower, Smooth",Echinacea laevigata,ENDANGERED,ONSITE,,0.005,0.001,Grassland/herbaceous,,,na,n,Resident,23,8,Resident,y,n,0,
Fort McClellan ARNG Training Center,,Plant,white fringeless orchid,Platanthera integrilabia,THREATENED,ONSITE,,0.015,0.002,Woody Wetlands,,,PFO,n,Resident,62,,Resident,n,na,0,
VTS Tullahoma,,Plant,white fringeless orchid,Platanthera integrilabia,THREATENED,ONSITE,,0.015,0.002,Woody Wetlands,,,PFO,n,Resident,62,,Resident,n,na,0,
Orchard TA,1,Plant,"Peppergrass, Slickspot",Lepidium papilliferum,THREATENED,ONSITE,,0.001,0.0001,Shrub/Scrub,Grassland/herbaceous,,na,y,Resident,2,na,Resident,n,na,3,
FORT CHAFFEE MANEUVER TRAINING CTR,1,Plant,Geocarpon,Geocarpon minimum ,THREATENED,ONSITE,,0.001,0.0001,Barren Land (Rock/Clay/Sand),Grassland/herbaceous,,na,n,Resident,27,9,Resident,y,y,0,
MTC-H CAMP GRAYLING,1,Plant,"Goldenrod, Houghton's",Solidago houghtonii,THREATENED,ONSITE,,0.5,0.01,Emergent herbaceous wetlands,,,PEM,n,Resident,58,33,Resident,y,n,0,
JOINT BASE LEWIS-MCCHORD,1,Plant,"Howellia, Water",Howellia aquatilis,THREATENED,ONSITE,,0.001,0.0001,Emergent herbaceous wetlands,,vernal pool,PAB3C,n,Resident,160,,Resident,y,n,0,
FORT HUACHUCA,1,Plant,"Ladies'-tresses, Canelo Hills",Spiranthes delitescens,ENDANGERED,CONTIGUOUS,,0.5,0.01,Emergent herbaceous wetlands,,,PEM,n,Resident,4,1,Resident,n,na,0,
FORT BRAGG,1,Plant,"Loosestrife, Rough-leaved",Lysimachia asperulaefolia,ENDANGERED,ONSITE,,0.001,0.0001,Woody Wetlands,Emergent herbaceous wetland,,"PFO,PSS",n,Resident,64,,Resident,y,y,0,
FORT JACKSON,1,Plant,"Loosestrife, Rough-leaved",Lysimachia asperulaefolia,ENDANGERED,ONSITE,,0.001,0.0001,Woody Wetlands,Emergent herbaceous wetland,,"PFO,PSS",n,Resident,64,,Resident,y,y,0,
NATIONAL TRAINING CENTER AND FORT IRWIN,1,Plant,"Milk-vetch, Lane Mountain",Astragalus jaegerianus,ENDANGERED,ONSITE,,0.15,0.04,Shrub/Scrub,Barren Land (Rock/Clay/Sand),,na,y,Resident,4,,Resident,n,na,0,
WHITE SANDS MISSILE RANGE,1,Plant,"Pennyroyal, Todsen's",Hedeoma todsenii,ENDANGERED,ONSITE,,0.001,0.0001,Evergreen Forest,,,na,y,Resident,18,18,Resident,y,n,0,
FORT A P HILL,1,Plant,"Pink, Swamp",Helonias bullata,THREATENED,ONSITE,,0.015,0.002,Woody Wetlands,,,PFO,n,Resident,122,na,Resident,y,n,0,
FORT A P HILL,1,Plant,"Pogonia, Small Whorled",Isotria medeoloides,THREATENED,ONSITE,,0.015,0.002,Deciduous Forest,Mixed forest,,na,n,Resident,9,,Resident,y,n,0,
MTA CAMP SHELBY,1,Plant,"Quillwort, Louisiana",Isoetes louisianensis,ENDANGERED,ONSITE,,0.001,0.0001,Woody Wetlands,Emergent herbaceous wetland,,R2AB,n,Resident,7,,Resident,y,n,0,
MTC CAMP BLANDING,1,Plant,"Rhododendron, Chapman",Rhododendron chapmanii,ENDANGERED,ONSITE,,0.015,0.002,Woody Wetlands,,,PSS,n,Resident,2,,Resident,y,y,0,
VTS CATOOSA,1,Plant,"Skullcap, Large-flowered",Scutellaria montana,THREATENED,ONSITE,,0.005,0.001,Deciduous Forest,,,na,n,Resident,48,11,Resident,y,n,0,
FORT BRAGG,1,Plant,"Sumac, Michaux's",Rhus michauxii,ENDANGERED,ONSITE,,1.5,0.04,Evergreen Forest,Shrub/Scrub,,na,n,Resident,43,19,Resident,y,y,0,
FORT PICKETT ARNG MTC,1,Plant,"Sumac, Michaux's",Rhus michauxii,ENDANGERED,ONSITE,,1.5,0.04,Evergreen Forest,Shrub/Scrub,,na,n,Resident,43,19,Resident,y,y,0,
FORT BENNING,1,Plant,"Trillium, Relict",Trillium reliquum,ENDANGERED,ONSITE,,0.015,0.002,Evergreen Forest,,,na,n,Resident,72,,Resident,y,y,0,
FORT HUACHUCA,1,Plant,"Water-umbel, Huachuca",Lilaeopsis schaffneriana var. recurva,ENDANGERED,ONSITE,,0.001,0.0001,Evergreen Forest,Woody wetlands,,PFO,y,Resident,17,,Resident,y,n,3,
FORT BENNING,1,Reptile,"Alligator, American (Similarity of Appearance)",Alligator mississippiensis,THREATENED,ONSITE,water,90.2,10,Evergreen Forest,Emergent herbaceous wetland,"Younger alligators prefer shallow water wetlands with plant cover.  Older alligators prefer open water, but will burrow and nest in shallow muddy areas.  Rivers, lakes, ponds, swamps, marshes.",na,N,Resident,81 to >300,300,Resident,N,na,0,"Populations are stable or increasing in most of range; there are currently fourteen million acres of alligator habitat; no longer biologically endangered or threatened; however, listed by USFWS as Threatened throughout entire range due to similarity of appearance to other endangered or threatened crocodilians. # of viable populations is an estimate based on previously stated information."
FORT RUCKER,1,Reptile,"Alligator, American (Similarity of Appearance)",Alligator mississippiensis,THREATENED,ONSITE,water,90.2,10,Evergreen Forest,Emergent herbaceous wetland,"Younger alligators prefer shallow water wetlands with plant cover.  Older alligators prefer open water, but will burrow and nest in shallow muddy areas.  Rivers, lakes, ponds, swamps, marshes.",na,N,Resident,81 to >300,300,Resident,N,na,0,"Populations are stable or increasing in most of range; there are currently fourteen million acres of alligator habitat; no longer biologically endangered or threatened; however, listed by USFWS as Threatened throughout entire range due to similarity of appearance to other endangered or threatened crocodilians. # of viable populations is an estimate based on previously stated information."
MTC CAMP BLANDING,1,Reptile,"Alligator, American (Similarity of Appearance)",Alligator mississippiensis,T (S/A),ONSITE,water,90.2,10,Evergreen Forest,Emergent herbaceous wetland,"Younger alligators prefer shallow water wetlands with plant cover.  Older alligators prefer open water, but will burrow and nest in shallow muddy areas.  Rivers, lakes, ponds, swamps, marshes.",na,N,Resident,81 to >300,300,Resident,N,na,0,"Populations are stable or increasing in most of range; there are currently fourteen million acres of alligator habitat; no longer biologically endangered or threatened; however, listed by USFWS as Threatened throughout entire range due to similarity of appearance to other endangered or threatened crocodilians. # of viable populations is an estimate based on previously stated information."
FORT HUACHUCA,1,Reptile,"Gartersnake, Northern Mexican",Thamnophis eques megalops,THREATENED,ONSITE,Terrestrial,9,2,Evergreen Forest,Woody wetlands,"This snake is strongly associated with permanent water with vegetation, including stock tanks, ponds, lakes, cienegas, cienega streams, and riparian woods.",na,Y,Resident,18 (in U.S.),5,Resident,N,na,0,Dispersal ranges are estimates based on NatureServe population separation values.  Detailed tracking data unavailable.
FORT STEWART,1,Reptile,"Snake, Eastern Indigo",Drymarchon corais couperi,THREATENED,ONSITE,Terrestrial,22.2,4.8,Evergreen Forest,Mixed forest,"Habitat includes sandhill regions dominated by mature longleaf pines, turkey oaks, and wiregrass; flatwoods; most types of hammocks; coastal scrub; dry glades; palmetto flats; prairie; brushy riparian and canal corridors; and wet fields. Occupied sites are often near wetlands and frequently are in association with gopher tortoise burrows. Pineland habitat is maintained by periodic fires. Viable populations of this species require relatively large tracts of suitable habitat. Refuges include tortoise burrows, stump holes, land crab burrows, armadillo burrows, or similar sites. Eggs may be laid in gopher (Geomys) burrows. May move seasonally between upland wintering sites and wetter lowland feeding areas.  Large home range, with studies reporting mean home ranges from 41-510 in males and 19-101 in females.",na,N,Resident,81 - 300,30,Resident,Y (1982),Y,20,"This species is represented by many occurrences or subpopulations, but many of these may not represent populations with good viability.  Specific data on number of viable populations is unavailable, but has been estimated based on areas of frequent sightings near suitable habitat, excluding released animals. "
MTC CAMP BLANDING,1,Reptile,"Snake, Eastern Indigo",Drymarchon corais couperi,THREATENED,ONSITE,Terrestrial,22.2,4.8,Evergreen Forest,Mixed forest,"Habitat includes sandhill regions dominated by mature longleaf pines, turkey oaks, and wiregrass; flatwoods; most types of hammocks; coastal scrub; dry glades; palmetto flats; prairie; brushy riparian and canal corridors; and wet fields. Occupied sites are often near wetlands and frequently are in association with gopher tortoise burrows. Pineland habitat is maintained by periodic fires. Viable populations of this species require relatively large tracts of suitable habitat. Refuges include tortoise burrows, stump holes, land crab burrows, armadillo burrows, or similar sites. Eggs may be laid in gopher (Geomys) burrows. May move seasonally between upland wintering sites and wetter lowland feeding areas.  Large home range, with studies reporting mean home ranges from 41-510 in males and 19-101 in females.",na,N,Resident,81 - 300,30,Resident,Y )1982),Y,20,"This species is represented by many occurrences or subpopulations, but many of these may not represent populations with good viability. Specific data on number of viable populations is unavailable, but has been estimated based on areas of frequent sightings near suitable habitat, excluding released animals. "
NATIONAL TRAINING CENTER AND FORT IRWIN,1,Reptile,"Tortoise, Desert (except AZ south and east of Colorado River, and Mexico)",Gopherus agassizii,THREATENED,ONSITE,Terrestrial,32,5,Shrub/scrub,Barren land,"This tortoise is almost entirely confined to warm creosote bush (Larrea tridentata) vegetation characteristic of the Upper Sonoran life zones of the Mohave and Colorado deserts. Specific habitat associations vary geographically, as do substrate preferences. In the Mohave Desert, the tortoise occurs in creosote scrub, creosote bursage (Ambrosia dumosa), shadscale (Atriplex) scrub, Joshua tree (Yucca brevifolia) park, and, more rarely (in the northern periphery of their range), in mixed blackbush scrub between 3,500-5,000 feet elevation. In the warmer and lower Colorado Desert, tortoises generally are confined to creosote scrub and wash woodland habitats. Often native desert grasses, especially galleta (Hilaria/Plueraphis) and indian rice grass are associated with high tortoise densities, and the former species provides significant forage for adults.  Most often tortoise habitats are associated with well drained sandy loam soils in plains, alluvial fans, and bajadas, though tortoises occasionally occur in dunes, edges of basaltic flow and other rock outcrops, and in well drained and vegetated alkali flats.",na,Y,Resident,10,10,Resident,Y (2011),Y,28,"Number of populations and their viability is based on Murphy et al. 2007, who conducted a genetic analysis of the 6 Recovery Units from the RP and discovered ten distinct groups.  Officially there is only one population (DPS) defined in the recovery plan. Natureserve:  ""The number of distinct occurrences (subpopulations) and locations has not been determined using standardized criteria. The number of occurrences likely would have to be based on arbitrary separation criteria, so the number would have relatively little conservation significance (e.g., occurrences likely would be relatively few but quite large). Instead, population size and area of occupancy are more meaningful measures of conservation status. Population Size: 100,000 - 1,000,000 individuals. Area of Occupancy: 2,501-12,500 4-km2 grid cells"""
MTA CAMP SHELBY,1,Reptile,"Tortoise, Gopher (Wherever found west of Mobile and Tombigbee Rivers in AL, MS, and LA)",Gopherus polyphemus,THREATENED,ONSITE,Terrestrial,6.4,0.5,Evergreen Forest,Mixed forest,Longleaf pine forest is the classic habitat.  Prefers open canopy on sandy soil with herbaceous ground cover.  Digs and inhabits burrows.,na,N,Resident,81 to >300,250,Resident,Y (1990),Y,11,"# of viable populations estimated based on reports, from southeastern states, of populations of >250 individuals"
CTC FORT CUSTER TRNG CENTER,1,Reptile,Massasauga ,Sistrurus catenatus,THREATENED,CONTIGUOUS,terrestrial,2.6,0.1,Woody Wetlands,Emergent herbaceous wetland,burrows,"PFO,PSS",N,Resident,347,105,Resident,N,na,3,one could make a claim that this spp occupies all NLCD types
FORT MCCOY,1,Reptile,Massasauga ,Sistrurus catenatus,THREATENED,CONTIGUOUS,terrestrial,2.6,0.1,Woody Wetlands,Emergent herbaceous wetland,burrows,"PFO,PSS",N,Resident,347,105,Resident,N,na,3,one could make a claim that this spp occupies all NLCD types
Marseilles (MTA Training Area),1,Reptile,Massasauga ,Sistrurus catenatus,THREATENED,CONTIGUOUS,terrestrial,2.6,0.1,Woody Wetlands,Emergent herbaceous wetland,burrows,"PFO,PSS",N,Resident,347,105,Resident,N,na,3,one could make a claim that this spp occupies all NLCD types
MTC-H Camp Grayling,1,Reptile,Massasauga ,Sistrurus catenatus,THREATENED,ONSITE,terrestrial,2.6,0.1,Woody Wetlands,Emergent herbaceous wetland,burrows,"PFO,PSS",N,Resident,347,105,Resident,N,na,3,one could make a claim that this spp occupies all NLCD types
ABERDEEN PROVING GROUND,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Camp Atterbury,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Camp Dawson TA,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
